Model,Load-1,Load-2,Load-3,Load-4,Load-5,Load-6,Load-7,Load-8,Load-9,Load-10,Load-11,Load-12,WorstLife
324,6575,34109,71181,56807,70848,27320,4898,79890,76805,2801,6901,42076,120526.508
325,51887,79821,58557,38029,54961,34464,17933,62629,31810,40646,46370,9350,139025.75
326,38350,56682,68605,42592,59449,59353,41006,39444,76568,49311,45337,45040,202043.984
327,23479,33303,79529,1979,39567,2048,54695,59210,50856,16459,59209,5035,10596.376
328,74048,36582,54034,64523,75956,4404,50854,62709,20096,76139,66192,71799,90449.562
329,15428,49652,47176,20772,21213,40673,36200,50707,19740,53222,12887,49438,526723.875
330,15608,32374,60246,21132,60920,16402,8487,46155,29722,58898,31488,49332,152603.828
331,29851,55445,13768,76066,70298,67758,1685,75634,13851,33860,74919,62198,71354.5
332,74974,7284,7524,51119,40079,11329,51063,28554,59719,23035,52103,52811,132910.094
333,10084,71610,53162,51041,1591,7533,17671,42202,57010,26847,14563,52843,189556.125
334,21913,33885,74520,42773,21734,11272,14276,77224,53737,75629,25099,59317,37865.172
335,52465,69833,75616,1639,18017,45325,53050,50318,71104,14593,3822,66340,26429.945
336,51379,1628,74804,52878,981,1814,51320,35855,9056,14545,19707,19173,20737.928
337,14147,59061,12261,76175,49029,77802,8541,21497,75036,58395,36867,67536,51422.008
338,15668,15984,33986,3966,22041,49148,12503,56402,33384,24796,3062,10854,449977.469
339,23292,79161,23024,12683,7115,45513,72298,78294,62874,4696,44497,51512,74719.609
340,46291,26515,54083,66034,10026,42778,63040,26421,18790,63582,14594,29971,89090.164
341,2642,36505,73119,39217,72363,63423,62435,67217,3445,59607,67781,23299,81624.133
342,18550,77720,33972,44037,1180,7170,64333,70309,50443,69341,9378,65515,121105.969
343,75259,24934,1478,34957,5749,56892,6373,56943,60487,48405,70312,8163,269543.031
344,10871,1206,66779,25910,3806,15909,70141,57333,7093,30223,75809,60474,22894.525
345,33332,57798,35096,55890,24589,73850,48700,71471,64672,45262,53330,40363,343916.781
346,54166,54612,43650,4232,54560,12729,13318,809,59320,30830,77873,69107,180958.125
347,30666,63329,77136,27461,40357,77450,32813,7066,31204,55843,3680,59916,47411.293
348,29623,38840,12633,2016,12017,67987,75450,44249,41061,42674,38679,21586,812889.562
349,29797,1826,34841,17176,38902,60780,25182,50671,15650,61601,56747,65062,701191.062
350,2374,1083,33604,57477,20957,25616,68674,65005,2151,52403,2104,29967,88167.352
351,55352,50143,3283,69702,31314,41074,55444,10531,20158,26353,15915,31698,44724.742
352,74072,54675,61511,32906,7785,21415,20966,22345,72556,55874,9084,58472,161269.891
353,51402,54777,30567,54346,67081,11479,52286,11071,33282,35976,13308,75785,194756.562
354,65654,46966,23130,7931,43672,7122,59677,34275,73179,63181,17425,24412,457827.5
355,68872,72758,41411,18620,41648,69290,62961,701,37035,68203,52625,35132,361331.781
356,73639,5197,43082,4555,25126,56606,11604,65100,45788,42708,23223,28706,239042.453
357,6286,69505,50191,16533,74092,52620,23733,69454,15262,20163,74424,67573,107710.07
358,17762,21387,72656,739,66126,79995,5887,28478,20475,23317,51711,53142,29190.025
359,11005,6144,9157,42548,20996,41214,72048,35985,64923,30126,40748,62620,198523.25
360,49183,43177,65290,9164,79796,12846,69159,40702,64089,46982,25337,63435,29978.545
361,60721,24804,8122,48518,22286,46554,35070,77069,23755,16548,68381,65465,186378.297
362,43665,78024,57396,2379,78385,9525,55689,39131,58714,74941,40334,65932,28397.824
363,47680,72728,39386,1194,38072,7200,40241,22154,79505,11523,72725,38970,275087.812
364,39145,61881,60304,20906,1435,4291,73913,23777,14104,71194,25415,30659,120645.859
365,13205,78890,12452,56758,37640,57838,34542,34952,22282,4324,70355,53934,94643.43
366,43393,17437,31680,38244,44673,567,57876,53076,30083,31953,70188,6897,701415.375
367,68633,63097,76895,18336,15603,78452,76781,75776,60881,42230,15999,9704,34714.715
368,8471,14569,3959,75287,78018,34739,258,77164,19848,71814,47648,19454,34787.707
369,72442,26714,19646,37227,72525,4399,43467,34909,21224,14626,21705,13854,52517.023
370,36279,38539,65852,49247,57936,73826,76680,7604,68381,6097,54465,64665,260897.938
371,39026,18857,6023,11993,70324,75006,72503,69093,17926,4211,72120,77456,114842.945
372,68151,22526,15664,28773,26025,5690,54434,27541,54919,13674,44695,37708,615497.938
373,27981,32743,75419,6117,14874,18906,10933,40950,62831,51926,23225,12534,14067.465
374,46912,7400,69102,21557,64534,49390,52601,35642,1764,33471,49612,50707,55711.977
375,15342,74165,19882,62062,39660,61381,65956,62036,34942,78732,36125,59859,204452.438
376,28927,33307,27030,20734,66368,4601,46996,6727,31419,64744,33772,25377,72939.352
377,77042,71633,60564,254,64225,73201,33128,7590,73273,32485,19823,16815,226457.594
378,28215,77865,34499,30892,418,25827,33246,3035,57960,8359,10742,76047,115020.43
379,62034,20936,990,39465,51490,8944,42465,43767,64333,24517,1264,29155,330726.375
380,76975,62620,19975,21973,77142,9173,34614,37174,8585,41615,70557,62738,30331.342
381,60228,12150,62188,35286,43774,58857,2780,25604,67682,4445,14307,40299,139709.531
382,25931,75380,2908,19453,48559,14635,31924,18284,29477,62970,3036,49155,118726.766
383,60144,32316,60180,77034,11970,6122,55140,12400,14640,56695,8682,67968,26418.289
384,48592,25661,28264,64835,30649,63032,68708,74348,40754,27746,54535,75702,113802.609
385,19145,68964,47124,7111,61317,46985,64868,29349,78249,6025,21778,34842,336593.844
386,12128,16033,19262,68320,51341,4826,36261,8506,17254,30807,3819,17132,50226.66
387,37912,47200,9123,59999,34662,36447,9779,5600,49267,42234,3913,72545,106818.891
388,23287,39693,58437,39127,2394,78796,38378,35406,53360,43933,27624,41072,158221.359
389,35691,9569,39158,23679,35496,3396,56456,18996,21748,58514,8145,24606,502196.656
390,65495,13987,55049,72035,40876,31458,49263,66161,39278,56542,51220,76959,84159.125
391,54741,76084,26713,26299,53833,49452,27189,15797,6009,26584,48618,56116,180430.703
392,54727,13593,73923,53989,21033,53532,23940,59128,51447,47510,70548,8025,48517.004
393,28181,75005,23539,16876,68213,24958,12477,58772,9196,78800,67528,8941,83676.969
394,29615,60925,10692,17552,72803,24595,47329,74586,50047,73054,57970,43947,55465.383
395,15906,40149,15431,70546,20389,27044,12381,57437,33205,41158,21015,17051,28462.088
396,57942,66682,3190,77218,3521,22195,9093,30875,65709,7527,17010,35522,9550.267
397,14326,15827,41225,57780,56278,62987,10492,15125,76660,168,22711,63998,396674.062
398,76994,17194,41427,12742,49494,2973,44702,41976,59901,1202,21865,16175,287876.438
399,15108,28823,55778,19425,18519,6799,73872,22501,22013,68894,5746,31278,116738.875
400,11225,77468,28681,17572,26226,27479,69540,16250,24609,69777,35539,37896,103948.211
401,40084,44929,70691,21670,69161,35350,24909,50182,3292,32835,20517,67636,87048.172
402,70150,14435,62903,78768,56044,11003,49702,9417,35293,69925,78027,38097,55022.195
403,21732,767,66334,59597,51536,67080,54725,62300,63057,12413,10112,8158,129734.719
404,41414,65014,72298,22966,17848,22915,41358,48261,47188,12916,24702,53969,51388.82
405,44083,26441,41079,20737,61541,5635,70247,44920,79154,25652,62764,44893,147335.594
406,29472,46456,74049,15798,58422,7697,74814,46250,32410,8963,41937,23172,41974.098
407,37713,69750,63392,74177,21462,78839,71365,59463,41235,14135,23099,18565,102296.344
408,10539,5051,22413,70897,196,68889,57656,7145,4312,2528,77448,31778,20041.521
409,24495,49071,28697,47564,59549,75732,33555,19791,22016,5504,39657,56681,412015.406
410,49582,6931,23420,51020,12799,57978,59243,44968,5143,23187,66742,75751,161015.766
411,60434,8979,54048,76703,11515,77918,3514,76125,44082,3222,73019,42695,33895.086
412,39942,44856,74849,54039,51985,31012,76584,60114,61028,49767,9447,37034,86889.383
413,24952,68955,18189,42036,79798,43102,21999,31282,30525,4550,23291,23794,57839.02
414,11840,78493,31238,41410,23239,27447,17526,8220,42311,28057,22427,20518,102712.93
415,66499,23290,30052,3869,10090,66535,26587,55266,69020,43674,64079,68310,796907.062
416,66957,57450,2344,45343,29164,360,52737,20766,37325,64012,32195,40374,195627.891
417,37109,1018,3506,68123,29470,57776,76227,26695,76646,24103,9396,50921,33236.625
418,14576,7316,79143,58093,76688,9111,48252,56878,39112,1035,5467,29349,31217.656
419,17357,70805,37209,12895,70251,25482,79565,31402,623,8050,29787,64269,95689.969
420,18705,10324,16426,32987,58500,57866,12897,64453,26891,75868,6127,59355,429083.719
421,50823,40799,22105,69772,7171,59028,5947,22798,750,72322,77522,30407,36887.703
422,51747,58439,16560,38229,32171,77947,64537,32729,20144,12746,51212,44262,242469.078
423,7031,77050,57696,77934,15594,15576,42531,62216,6598,48914,42806,76716,33267.57
424,11287,1609,52119,73716,75525,33701,71765,25817,59058,17589,16888,63017,108327.625
425,51160,43513,73247,49101,79305,13980,78826,49158,11613,19530,22570,48404,71025.656
426,26851,52777,68053,52211,34458,2627,26477,73843,7455,14553,35429,6406,141394.188
427,9726,70441,54932,60285,31806,13427,49628,29976,50286,15962,6076,51527,238773.016
428,4855,8287,26252,55879,38622,57976,33650,67610,64522,78444,7627,53008,192620.547
429,38349,25664,60236,67716,19521,51775,58681,9544,75299,55839,59812,12299,115409.461
430,76687,39850,63401,15567,73760,55960,3139,67780,4111,17271,79384,36914,105055.094
431,72242,19144,31270,53401,68500,12972,48885,10489,66415,64812,13923,16609,146506.234
432,49740,56911,11796,27012,39406,53512,58387,26032,11973,64584,2646,70265,2457810.25
433,32270,155,21740,19015,24532,70796,58833,61523,73924,57955,22743,23203,667756.125
434,26812,26927,65567,32849,47759,29775,12002,43621,23968,69994,22860,2410,105178.023
435,8375,18191,67510,36650,9178,28523,71149,77533,63290,69873,47709,39955,46293.082
436,25393,46268,41645,31262,30339,30332,47477,9960,40524,43259,65594,69824,1269025.125
437,51857,38306,76744,72402,25528,18184,39625,53362,17768,44217,19812,10096,62831.652
438,4365,39546,41272,68220,37388,28513,72969,18179,6860,38200,43215,8922,99137.375
439,58504,38291,14131,53364,63812,61437,59657,59849,75428,18772,974,23674,512558.531
440,51283,24877,3610,42949,39559,62114,13819,69524,55676,45767,52979,47303,432116.969
441,58531,45680,34715,67921,312,36352,31866,52589,36095,26669,63741,27617,41384.418
442,68979,20815,43635,77557,42594,40085,24634,51315,8682,49410,27816,65699,46508
443,56175,49835,66122,67431,61568,2170,27427,29259,49360,33529,56967,27783,228709.234
444,38231,47673,60467,58190,64908,27259,6749,74765,45861,25538,20430,27723,379937.094
445,79045,6710,74500,50201,56717,37638,4132,941,31379,46608,67077,33278,49261.852
446,15216,60200,23172,72525,34400,63485,62918,8486,1537,34823,3751,48919,68799.812
447,37280,26842,53880,8782,25284,29592,59035,38706,52217,79846,73651,14969,142309.766
448,17324,1037,24135,27991,11731,17181,27566,60686,75472,24624,59625,32324,397436.812
449,56295,2115,57443,60564,58092,28216,27030,73462,27005,69895,17196,36079,318687.656
450,52837,17677,38356,67697,74456,62987,16909,77648,33723,76729,66674,3814,212731.578
451,20050,6699,46062,59121,43360,55609,67089,46195,45593,34817,45037,62137,276774.875
452,11651,23211,52714,12950,56614,74532,56761,7303,15399,14844,50780,17646,258628.938
453,24278,53476,46295,64912,79945,24008,46950,42244,51749,4735,22978,38200,78151.812
454,53175,40452,63363,51311,69558,44489,750,63859,15284,56932,22013,21696,267132.719
455,43746,11838,62508,12359,27614,4586,46075,54998,72231,22590,13452,18806,45564.254
456,31491,38422,58310,47588,2157,52053,54317,6338,22015,64580,22790,77437,264890.156
457,28985,68449,31398,76605,5331,77609,3682,4358,63943,73495,50494,16345,29929.443
458,73797,47025,43125,39077,6465,21217,1404,16932,56998,75033,1286,34367,440971.156
459,5941,147,1798,37718,28215,40922,73521,61446,77349,20023,30630,71916,235740.156
460,67089,75361,3951,44339,22852,28734,35154,13538,70648,72896,63606,58082,154339.297
461,31515,50306,44029,49138,70646,53915,74921,73212,72281,21381,31849,6108,305821.781
462,66026,36587,76990,57943,19515,75074,18953,45754,8326,11190,29922,33164,54280.117
463,12417,30587,4814,35533,40868,77481,66979,1814,51348,32278,22270,40533,257358.891
464,29080,4714,60186,25201,26236,32061,73303,26333,44410,62960,79300,74310,76642.648
465,35135,50910,75901,63753,73649,45210,76773,64660,9274,75374,29811,14263,115870.367
466,70662,11268,65197,66023,21532,24958,77649,43769,42753,7444,67864,66056,106994.508
467,34263,38103,41138,15147,8718,35442,27617,59837,63571,40302,51543,76686,526026.062
468,66280,74428,283,46914,33131,6964,13419,50191,68245,64571,1310,10110,163788.422
469,16645,43553,33016,29118,57043,64136,30989,67839,28777,42366,8405,49863,815571
470,57724,29299,41655,45246,13613,36763,51961,270,45192,69688,48009,65927,413397.75
471,15835,77560,22727,37942,59815,42502,23812,34641,62992,5659,10249,47816,127242.258
472,17709,33255,23290,37860,78251,27536,70094,13802,70867,35888,68087,64562,52014.977
473,12520,20927,50769,10009,53092,9442,30206,7346,11628,55589,23323,70724,181763.797
474,63909,54297,54970,52558,35254,57718,5662,79711,11602,69006,65606,10793,319404.781
475,51595,62501,50515,12793,27771,24733,34219,48052,38292,23807,46856,948,413642.156
476,17058,50982,61204,10967,57376,59988,25018,23797,77918,48267,1103,43199,186428.609
477,70179,24144,36044,65277,10060,31960,64435,74305,61025,38327,60316,51485,57855.359
478,30786,67045,70270,41304,74509,4420,48103,62884,54805,64973,44795,35394,86746.398
479,11546,27600,35385,5948,67142,26120,23663,2383,4608,1042,3219,53806,73359.789
480,69769,22948,24037,66148,13967,62988,11089,79063,27218,77841,14691,35183,56013.117
481,64121,47509,62905,25376,79492,40290,72607,33313,12542,21897,61044,57560,68143.969
482,2329,62619,41419,37818,76691,59585,11652,70611,16438,64182,12006,53202,110078.188
483,43443,33392,12214,5191,3790,31882,51598,56571,13630,77567,15626,61266,1787853.625
484,57820,69848,36794,71765,19824,37145,61435,3193,37013,63288,62084,19218,60848.656
485,41066,67874,57709,19645,40157,20808,342,74213,60118,26913,49562,25234,276301.594
486,14895,48788,9125,17105,11878,77302,8901,34585,2900,27874,76934,30659,132398.344
487,23150,12969,75157,6898,16576,27301,27310,61114,13763,76388,47733,11344,10986.378
488,67469,75420,48537,53064,9573,62274,26973,37567,17774,78761,58764,76366,274700.281
489,23856,71903,9225,79384,74025,38563,4436,56456,9611,39213,75564,26231,46024.105
490,18104,79944,43210,17076,34736,71717,67775,43541,67206,72466,4509,10755,91644.891
491,23732,15683,21798,6361,55592,22263,17534,49891,66345,44108,1423,31265,150821.188
492,6718,55817,18942,52388,42391,63332,31683,35355,4869,48778,76952,7324,435936.156
493,62533,69674,75503,38631,36042,46417,72944,53171,6291,25841,57156,72368,70646.359
494,50490,44008,15559,50677,41469,45630,41337,8130,8096,17145,64945,30523,384083.562
495,15942,23283,22988,38097,34258,16369,78412,13085,69626,39551,20592,67964,545387.75
496,6793,7548,67219,58491,57653,22688,62608,52435,35303,71543,3358,3057,105363.008
497,3543,7388,66247,36933,25829,28096,23083,21484,19263,67568,78649,14100,46905.57
498,36023,68725,72216,8317,64267,63273,21884,31653,59873,73254,76701,11696,72741.375
499,12513,873,34061,39058,29963,68382,74277,18310,55144,9722,15322,35020,763492.062
500,30742,17868,57703,23760,29979,10329,63906,3705,4971,55751,56042,60003,113131.266
501,71943,62901,6780,16976,15540,74485,6262,72211,25468,66825,43762,3625,218266.859
502,46713,50246,35337,76509,46566,5134,43603,29461,75844,23420,63475,47776,42406.148
503,3517,21092,41983,217,23470,5625,10084,47781,30642,67350,21178,58612,157006.078
504,56929,72398,44923,4724,8430,16378,37522,14853,2644,1196,73226,2664,288029.906
505,76895,73771,74145,13611,61635,49725,28841,27315,53971,65361,62074,55495,66586.016
506,14834,22241,10594,61742,45784,19087,74226,23351,9853,43783,23267,60457,83760.141
507,59754,28038,11900,66980,43736,16895,61759,72987,63231,75866,13254,37705,58247.59
508,12160,38432,8532,17744,5875,37256,12045,76606,27937,79833,36910,40504,603968.125
509,18860,20591,58867,10215,16161,13938,66262,74236,65644,3906,71638,31124,60004.992
510,38439,13160,78964,79591,35618,27743,42113,21863,35198,31017,38218,64983,41845.57
511,59663,36749,6019,23442,18003,50174,44719,69900,62277,68655,42798,10440,1109208
512,76905,68896,26373,76340,38802,38293,6298,66020,15463,15845,10486,71372,44402.508
513,73704,31852,11563,64494,1705,63554,3275,25689,56605,63746,64806,33706,37955.488
514,46216,61006,77837,61265,18727,54141,14723,75236,32053,62309,78222,59019,60959.98
515,7529,7672,73272,35046,34833,50259,46672,44971,72422,76291,55841,45664,29793.725
516,1774,44492,65900,60723,69336,34893,19098,54245,66852,35427,7938,7204,285123.75
517,45546,23040,71773,31663,2881,34218,32795,27304,72887,59645,204,14751,32032.803
518,44788,77511,69124,35492,27266,49837,52057,727,6021,29985,5383,30663,134581.094
519,75991,36166,38495,2683,46694,77826,16528,22666,76120,16446,75536,69130,191404.891
520,52693,67733,48604,42508,25212,3939,69666,68987,57911,4257,62949,21451,741037.438
521,41719,56051,45850,1904,76368,19695,33960,45563,31307,30721,41711,9784,33827.926
522,35962,39926,33300,45372,29676,38281,19401,24443,76515,23137,74186,67576,546953.688
523,6632,28796,15172,28821,23432,10371,43259,22185,30929,76611,69026,24939,552247.312
524,11446,16281,1352,73320,54803,14203,51222,14656,4079,73463,39025,49045,25269.156
525,63650,39274,23627,19695,17336,57591,21114,6614,32242,5245,66532,6443,2436936
526,54164,14169,6458,20588,57637,52828,40113,35192,26019,64574,38924,19102,341382.125
527,77775,72658,24761,841,38190,49915,75095,19748,1105,41200,34698,6391,254143.594
528,16726,39696,7048,33669,69926,33631,27164,12874,52487,51663,60133,16260,98946.641
529,21769,22651,34563,53501,17481,37610,43679,69466,46293,6508,7861,30796,177510.828
530,30350,75656,53219,44241,23123,15948,17095,45243,37189,29166,29501,52452,239588.984
531,58891,29434,1776,6881,41160,66624,57446,61352,8702,10889,27015,15367,1436519.625
532,50516,8381,27559,66607,55945,74930,67643,16398,32154,65304,71428,63122,137467.969
533,25933,6331,39816,44797,64462,66472,15031,24790,35397,36934,6752,39526,443008.625
534,16421,71209,4334,75096,46368,64838,46920,47134,50067,8187,64232,57457,49167.012
535,36570,12375,66323,36941,23540,71735,37428,10689,32709,51784,2414,40933,77543.977
536,53818,46365,54829,1341,51961,29598,3926,40754,31688,33046,12127,18990,211226.312
537,52973,19559,37315,19324,69653,27454,33238,58700,56619,16412,70828,64478,89517.516
538,73628,52690,26816,39431,65073,75320,49846,24015,74180,50925,72815,74570,486388.844
539,49352,70383,36031,78074,45560,72668,29568,25853,44808,72123,65352,35391,68732.117
540,21533,13604,70876,47908,61615,58993,72291,48114,50377,10237,3568,48149,88267.281
541,38616,7705,29989,24505,32218,36848,23581,2136,17795,21160,13323,58764,1211727.25
542,59281,79209,71344,4898,53350,46737,43766,50659,56291,46524,62323,63164,72476.961
543,54952,59838,8922,480,60092,35658,50901,25508,10094,29046,11527,12984,158299.828
544,67663,41052,48084,3239,46237,66729,5388,29163,62121,1241,9253,76829,451295.781
545,70840,28965,34546,50179,10225,9071,14146,50902,16777,31589,6608,34638,132565.234
546,9932,60007,64998,66869,65532,4186,12946,27204,38904,12415,77943,9290,255062.312
547,21481,33242,30384,63115,8944,70019,19664,55831,37645,68585,68343,7735,84205.523
548,75508,44762,69851,16154,18735,54777,22093,18126,40375,10329,24115,21698,54570.285
549,2704,41620,24441,74844,65448,62101,41746,4506,29691,23789,35995,15498,80309.477
550,41254,61551,48244,62706,17140,71693,18537,74469,57069,1932,49932,14622,198482.594
551,41155,67886,34320,77951,60528,15876,77170,62539,34678,22089,34913,78856,59702.254
552,33936,33797,62675,60432,58849,5505,54661,8977,37150,77181,70640,15092,322941.719
553,74840,54616,16622,33975,5328,12645,36945,45478,63430,7253,46514,74990,358937.438
554,29037,44783,22675,40637,488,5648,3596,43035,41389,57827,79171,17248,151673.906
555,5903,2841,25133,19358,68562,70100,13027,13500,21917,23518,426,55786,140066.359
556,40385,41209,64461,31752,30150,21500,55475,53251,16847,34519,29547,56639,126167.961
557,2046,31044,9088,18303,55400,17578,72559,14323,69772,11407,13478,24716,212600.219
558,75960,49193,15564,23115,13108,6988,31595,2019,47966,33752,64223,51233,774397.938
559,14355,39155,47670,71648,48163,66240,28059,45888,52058,38470,78522,22484,135554.953
560,20359,11302,57005,39966,7745,70732,7925,51725,13156,77071,61949,38599,148343.109
561,31526,75695,21927,14538,56901,37104,18160,14177,9941,20857,61403,7333,152015.125
562,10189,9139,6583,50622,27053,47428,12712,26430,39855,55971,42894,58703,119787.828
563,14319,49255,53433,32203,40453,60690,10719,78774,16596,5639,14870,45625,392534.719
564,31428,28288,12240,7032,59527,15972,9688,70455,2882,2708,43845,51267,82563.734
565,3370,32375,46153,33256,38131,32259,79084,56753,48453,23291,72830,19308,640830.438
566,30706,69602,14678,21120,32298,24403,16831,29425,50952,54697,33492,19748,337170.219
567,34633,60865,42878,20233,72346,9160,67098,52732,64342,38108,158,55022,65016.574
568,47388,48822,16764,20208,33347,49905,67637,53798,13403,28274,11550,68358,3428613
569,44349,36074,13359,75423,1087,39656,42292,69437,14775,72869,15175,64817,13894.146
570,46864,79358,17487,17167,43940,38945,70407,16970,11531,53269,25883,37443,83821.273
571,3125,29483,18086,47762,18828,27538,77802,19780,75198,7264,12522,59769,176975.484
572,70111,16778,23036,20628,54553,32629,11096,48920,63873,64422,49405,4004,304156.5
573,73780,15463,16580,62783,55370,66766,50326,2357,43045,41378,21978,8650,159343.031
574,8101,22303,12361,11129,18975,69130,25714,53684,45069,36298,27323,108,606805.375
575,56048,31504,23452,6404,8725,49879,4155,69073,53922,79458,45686,24854,1581704.25
576,32276,36146,74070,47262,21130,30462,38995,22376,28793,63512,34519,33560,52889.82
577,19992,59645,24298,71990,44180,62518,69380,73871,41821,29934,40073,60992,90426
578,32725,75352,16062,17103,69878,56622,4556,64346,20008,75213,77392,19274,117327.422
579,79185,72928,55774,37398,14120,27552,76119,71849,23241,12761,37023,41115,414339.125
580,30600,33355,4404,25224,33191,41964,8209,6891,54209,12490,61881,31316,1121982.875
581,38042,35629,28848,6032,1827,6325,55067,26511,41898,56235,75065,56706,759002.688
582,26395,46870,30239,36172,14750,13634,63082,72320,55010,64210,63147,23594,544165.375
583,6203,41995,28631,40833,36468,2825,27746,62006,51811,25772,68012,329,495922.938
584,8835,79063,5224,48276,23928,46565,3702,984,34033,59560,29029,11970,68323.047
585,75321,51750,59574,39160,1410,78120,55220,51389,67911,71201,13792,21834,193334.469
586,61317,34210,78749,44202,58014,21871,10475,67441,35290,23550,76187,67493,38799.66
587,59785,18578,58956,30996,31757,11633,12805,38005,62287,66751,62112,12727,130238.438
588,76720,5061,8836,58304,19773,37251,8504,17812,79292,10935,56459,22119,55772.332
589,2597,53815,66860,31762,43036,45807,40884,73144,66090,34958,37636,48026,131463.031
590,55260,16027,3994,58615,20021,77283,43919,39239,18318,9153,24204,3487,83838.352
591,30137,76509,58255,73820,48164,26500,44852,59888,38706,79554,46877,75718,119095.789
592,76372,38645,78174,76383,11235,20766,77603,2294,4894,46240,63443,74056,45895.043
593,48949,16854,6912,30024,41389,33070,12381,39017,6021,54394,18185,67309,845019.625
594,4237,21927,78364,28399,324,12252,41844,18270,45851,66676,7023,23790,10392.812
595,53834,50062,45139,54979,28663,64137,50687,51840,51537,70259,56844,1728,463999.438
596,55823,62416,33964,41530,7583,71315,20115,25928,60530,15424,33951,76873,479920.438
597,74146,41121,76111,26783,55338,16943,66809,28716,67141,65125,33078,47486,42533.926
598,57726,43372,19241,21510,51939,54712,11497,11706,12591,53707,48769,27564,711447.312
599,22947,48207,31361,48778,18640,44513,33791,10577,31115,65677,47170,67984,348051.938
600,79750,53935,6277,18314,25410,63770,8588,14737,36929,13366,56250,17137,1032987.188
601,2973,3459,49049,76811,46668,31652,50798,51335,8046,22585,78874,7625,43504.504
602,8627,13744,76777,49278,55673,56926,50892,27815,31831,66427,69298,51624,38979.305
603,53126,4684,46319,1878,20779,45573,36408,59357,30822,48359,37263,48254,145513.25
604,6337,36445,11794,49702,33627,3810,19500,51548,60449,22890,482,5084,140010.125
605,21857,72172,69182,2676,35947,42065,19253,58360,2950,56915,36464,62748,61714.703
606,11958,66562,66891,75619,26545,30521,40861,28612,56651,51430,11870,43813,70184.922
607,28016,19861,66832,54145,70447,44618,47595,16915,63604,17473,26277,41004,186381.625
608,33656,11323,8050,72940,34221,65952,54436,47990,27630,46014,62911,67293,31386.561
609,48868,57949,40781,43266,56158,37756,75903,3196,5605,79614,73249,64260,1007474.125
610,33648,9635,46564,4104,75761,26056,62222,567,45505,64087,49379,59236,37720.535
611,1420,40388,78022,39235,65935,15477,58683,1878,37613,52685,31140,78764,37431.316
612,10739,66761,1105,33375,40689,12183,19267,1433,11229,7321,58050,74999,370342.719
613,11640,34238,3323,29660,9009,25311,78756,74381,19147,56117,18065,37758,346872.375
614,729,13410,18161,1644,76994,18076,54482,6197,9479,22463,963,62932,18934.033
615,3453,53438,2905,78723,5457,71959,18398,10630,65234,25518,28324,44839,12292.674
616,52105,39390,26232,42759,65094,75761,55674,27059,20715,42275,27885,25365,457824.219
617,77314,71347,78044,15201,60844,76313,22996,56276,39320,61856,74658,30254,44192.664
618,62791,57527,3037,33263,30915,9750,8790,42040,77265,24179,38662,78990,408294.031
619,35329,12290,76494,11742,28767,67655,65134,18197,65879,62970,79760,21206,15987.691
620,7686,71398,78234,46721,74407,37612,300,76133,2513,43034,65500,74562,65374.586
621,68947,33910,59494,78241,34661,49694,67337,60839,67349,61333,46896,68055,60493.816
622,68135,6062,53249,927,12957,23020,62855,73143,60176,23133,58047,22841,66438.891
623,54310,2528,49744,49067,16380,30678,27529,32337,9326,34652,14467,6737,257607.641
624,16768,2420,58926,56427,24010,4964,53241,48004,51301,7965,18403,18176,135308.891
625,31651,44105,65538,78075,60368,48960,23325,13624,36237,41902,72239,43489,107680.195
626,49309,4086,62468,68639,69538,43364,542,47024,15577,31784,77899,2326,217698.281
627,58748,13528,8604,26162,70483,49290,49876,38238,72682,51696,4508,76965,107098.016
628,19174,15980,43977,39619,69653,31477,57271,1177,25767,49054,43195,36604,163202.031
629,35501,60634,35645,19596,60397,65102,77370,57931,27114,52148,21402,13010,579352.688
630,59998,71422,78184,20274,33104,15140,32757,67243,39071,40698,13551,63946,29968.061
631,6835,32187,28043,73976,62171,66269,55707,20793,55890,46268,49876,47794,84851.07
632,66254,35924,45467,54967,48130,47854,77706,30988,25369,56358,61053,4671,603184.812
633,78671,67480,34438,72769,59164,47450,27597,31658,34025,60319,22425,38289,128329.992
634,55797,19674,3824,54438,59191,3935,61274,20757,42655,33964,1972,41316,155333.562
635,33411,8673,68707,15346,40093,6101,73338,26710,37347,26260,53622,74681,29999.582
636,66241,15600,41460,36248,71153,71103,46359,13610,25703,38949,42404,40199,223713.422
637,72409,56631,38491,74439,19305,56690,72130,65541,52826,68023,74728,35632,53749.855
638,60827,4499,77900,1617,79296,63442,32614,9934,39465,34298,78142,39825,15851.174
639,42843,68870,42501,42518,50661,16149,12842,27138,74909,42858,19430,65486,764438.312
640,42498,36127,64574,9482,51956,27499,9894,67553,10699,28303,45859,4965,84004.125
641,75430,13534,8900,23427,29929,30138,5988,66004,76293,5801,8582,13939,871249.875
642,43215,31874,68085,7920,70804,25369,26777,42899,11205,64813,72006,79104,65805.5
643,16190,24089,61696,35591,43908,49439,41171,67144,62142,78090,50907,50848,167696.922
644,40789,44685,12621,20618,12582,73588,72760,35892,7443,71654,42695,47069,387655.281
645,35772,11149,22360,53295,36851,61180,35838,61084,38150,40522,71001,40526,251989.109
646,45313,79180,19067,12122,7821,24049,349,27521,74136,48483,45796,55072,72723.523
647,31434,27998,35485,21316,50728,37672,51312,4632,47826,2064,13740,37810,764892.438
648,4869,69925,57720,3147,39443,58802,349,1019,67925,41968,65130,1700,187637.422
